delta,t2,w2,s2,b2,p2
0.01,0.0107245508982036,0.0219700598802395,0.0311556886227545,0.0113293413173653,0.010688622754491
0.02,0.00222754491017964,0.0061437125748503,0.0117245508982036,0.00238922155688623,0.00222155688622754
0.03,0.000538922155688623,0.0018562874251497,0.00462874251497006,0.000598802395209581,0.00055688622754491
0.04,0.000101796407185629,0.00051497005988024,0.0012874251497006,0.000101796407185629,9.58083832335329e-05
0.05,0,0.000101796407185629,0.000383233532934132,0,0
0.06,5.98802395209581e-06,2.9940119760479e-05,0.000125748502994012,5.98802395209581e-06,5.98802395209581e-06
0.07,0,0,2.39520958083832e-05,0,0
0.08,0,0,0,0,0
0.09,0,0,5.98802395209581e-06,0,0
0.1,0,0,0,0,0
